PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEERNPER,PRERNHLY,PEERNHRO
49146,46,17,19,6,2,39,1,2,26900,1,825,25
49155,16,17,51,1,2,40,1,1,26900,1,2200,40
49211,42,10,40,6,2,40,1,1,26900,1,1700,40
49267,41,10,39,6,2,43,1,1,26900,1,1200,40
49286,46,13,16,6,2,36,2,2,26900,1,735,8
49287,26,16,18,6,2,37,2,2,26900,1,735,15
49344,46,14,42,1,2,39,1,1,26900,1,735,40
49345,4,19,33,1,1,34,1,1,26900,1,1200,40
49375,44,15,22,6,2,40,1,2,26900,1,850,16
49465,22,16,18,6,2,39,1,2,26900,1,1000,15
49506,41,17,63,5,2,43,2,1,26900,1,1659,40
49587,42,11,36,1,2,39,1,1,26900,1,1150,68
53064,21,17,30,4,2,39,1,1,28140,1,1750,40
53067,42,10,40,6,2,39,1,1,28140,1,1820,40
53068,46,13,20,6,1,39,2,2,28140,1,875,20
53246,4,19,37,6,1,38,2,1,28140,1,1000,40
53247,23,22,40,1,1,40,1,1,28140,1,2700,55
53281,46,13,17,6,1,37,1,2,28140,1,800,25
57008,22,16,47,6,1,40,2,1,35380,1,1200,40
57015,22,16,32,6,2,40,2,2,35380,1,1000,25
57018,42,10,42,1,2,44,1,1,35380,1,2089,52
57192,22,16,31,5,1,44,2,1,35380,1,1325,40
57221,4,19,29,1,1,40,1,1,35380,1,1550,40
57226,22,16,31,6,1,40,2,1,35380,1,1100,40
57331,40,8,58,1,2,44,1,1,35380,1,2580,45
57351,48,17,65,1,2,43,2,1,35380,1,2048,40
57357,24,22,36,1,1,39,2,1,35380,1,1200,40
57358,42,10,33,1,2,42,2,1,35380,1,1840,40
57495,36,4,59,4,1,43,1,2,35380,1,5000,32
57499,4,19,48,5,2,35,1,1,35380,1,1500,40
62227,41,11,41,6,2,39,2,1,12580,1,900,40
63729,45,14,41,1,2,39,4,1,14460,1,2005,40
63834,46,13,24,6,1,39,1,1,14460,1,1200,35
63958,23,14,55,6,1,40,1,1,14460,1,3100,40
63960,41,11,38,4,2,40,2,1,14460,1,2412,36
63962,51,6,17,6,1,37,2,2,14460,1,1000,20
64007,23,22,48,1,1,39,2,2,14460,1,2500,30
64069,42,11,53,4,2,39,2,1,14460,1,900,40
64114,46,13,60,1,1,43,4,2,14460,1,800,30
64115,45,14,60,1,2,43,4,2,14460,1,6100,30
66887,51,20,45,1,1,39,2,1,19820,1,1600,40
66888,22,16,43,1,2,39,2,1,19820,1,1200,40
66915,36,17,51,1,2,40,1,1,19820,1,1205,40
66972,51,19,61,5,1,41,1,1,19820,1,4200,40
67034,46,14,55,1,2,39,2,1,19820,1,1000,40
67460,41,17,35,1,2,42,2,1,19820,1,1500,36
70289,46,13,53,1,1,37,1,1,33460,1,1100,40
70290,45,14,47,1,2,34,1,1,33460,1,1000,40
70389,42,11,37,6,2,42,2,1,33460,1,1600,40
70409,48,17,31,6,2,42,2,2,33460,1,1016,30
70426,36,3,28,6,1,39,1,1,33460,1,1325,40
70438,50,15,36,5,2,39,2,1,33460,1,2412,38
75008,35,10,63,4,2,41,1,1,28140,1,2400,40
75062,38,21,54,2,1,39,2,2,28140,1,750,15
75079,14,21,59,1,2,42,2,1,28140,1,1650,40
75080,38,22,59,1,1,42,2,1,28140,1,1000,35
75164,39,22,48,1,1,40,1,1,28140,1,2400,40
75190,10,21,21,6,1,39,2,1,28140,1,1185,40
75328,4,19,41,4,1,39,2,1,28140,1,2300,40
75332,19,21,42,6,1,39,2,1,28140,1,2013,40
82154,46,13,30,2,1,39,1,1,29820,1,1100,35
82155,36,7,39,6,2,44,1,1,29820,1,2200,40
82192,22,16,22,1,1,40,6,1,29820,1,1700,40
82193,22,16,22,1,2,42,6,2,29820,1,1435,32
82263,38,14,42,1,1,33,1,1,29820,1,1000,40
82301,42,10,38,1,2,41,1,1,29820,1,1060,40
82337,21,16,49,1,2,42,1,1,29820,1,1500,40
82343,7,16,37,4,2,41,1,1,29820,1,900,40
82376,38,17,40,1,2,39,2,1,29820,1,1799,40
82377,46,16,17,6,2,37,2,2,29820,1,825,20
82378,22,17,19,6,2,39,2,1,29820,1,825,40
82379,50,15,24,6,2,43,2,1,29820,1,815,40
82411,38,17,25,1,1,39,1,1,29820,1,1100,40
82414,46,13,34,6,1,39,1,2,29820,1,1006,30
82457,22,17,80,4,2,39,1,2,29820,1,1000,20
82505,27,17,43,6,1,39,1,1,29820,1,1500,40
82506,30,17,20,6,1,39,1,1,29820,1,1500,40
82550,45,16,22,6,2,39,2,2,29820,1,900,30
82575,38,14,29,6,1,39,1,1,29820,1,1575,40
82576,38,14,51,1,2,33,1,2,29820,1,825,20
82577,4,19,52,1,1,33,1,1,29820,1,1500,40
82579,38,14,25,6,1,37,1,1,29820,1,1600,40
82582,41,3,57,4,2,42,2,1,29820,1,3900,40
82583,4,2,29,4,1,39,2,1,29820,1,1450,40
82586,21,17,56,1,2,39,1,1,29820,1,1400,40
82708,46,16,20,6,2,37,1,1,29820,1,900,35
82732,4,22,37,6,1,38,1,1,29820,1,1818,60
82735,22,22,44,1,2,39,1,1,29820,1,745,40
82736,40,14,42,1,1,39,1,1,29820,1,1200,40
82771,41,10,39,6,2,43,1,1,29820,1,4200,40
82788,49,14,53,6,1,39,1,1,29820,1,1200,40
82838,44,22,53,1,1,44,1,1,29820,1,3000,40
82839,44,9,29,1,2,42,1,1,29820,1,3000,40
82862,22,16,38,6,2,43,1,1,29820,1,1000,40
82900,38,17,21,6,2,39,2,1,29820,1,1000,40
82955,40,10,25,6,2,43,1,1,29820,1,2300,38
82961,46,13,38,4,1,43,2,1,29820,1,1000,40
82985,40,8,50,4,2,41,1,1,29820,1,1500,40
83013,45,12,43,4,2,42,1,1,29820,1,1606,40
83030,38,12,57,1,1,40,4,1,29820,1,1000,40
86122,46,13,33,6,1,43,4,1,35620,1,950,35
86127,51,2,58,6,2,39,2,1,35620,1,2250,40
86140,41,17,36,1,2,40,2,1,35620,1,1400,40
92105,46,13,15,6,1,34,1,2,35620,1,1000,20
92106,46,13,15,6,1,34,1,2,35620,1,1000,20
92107,46,13,15,6,1,34,1,2,35620,1,1000,20
92108,46,13,15,6,1,34,1,2,35620,1,1000,20
92109,46,13,15,6,1,34,1,2,35620,1,1000,20
92111,46,13,16,6,1,34,1,2,35620,1,1000,20
92172,23,22,49,6,1,40,2,1,15380,1,2850,77
92173,41,10,26,1,1,42,2,1,35620,1,2700,37
92338,42,10,22,6,2,41,1,2,35620,1,1100,20
92339,43,15,27,6,2,43,1,1,35620,1,2450,40
92464,43,11,44,1,2,39,1,2,35620,1,750,20
92465,43,11,46,1,1,39,1,1,35620,1,3351,40
92474,22,3,70,1,2,39,1,1,35620,1,5400,40
92481,23,22,53,1,1,39,4,1,35620,1,2800,40
92511,34,14,49,6,1,36,2,1,35620,1,1000,40
92512,42,11,41,6,1,39,2,1,35620,1,2334,40
92534,23,20,33,1,1,39,2,1,35620,1,2212,40
92538,42,11,46,1,2,40,4,1,35620,1,1792,40
92539,4,19,51,1,1,39,4,1,35620,1,2600,40
92703,46,13,45,1,1,42,1,1,35620,1,750,40
92707,23,20,22,6,1,40,4,1,35620,1,1200,37
92708,22,16,56,1,1,43,4,2,35620,1,800,20
92722,44,12,31,1,2,39,4,1,35620,1,2100,40
92772,36,17,58,6,2,44,2,1,35620,1,1659,40
92970,14,21,59,5,1,38,2,1,35620,1,1421,40
93006,32,17,22,6,2,40,1,2,35620,1,1000,20
93007,4,19,49,1,1,39,1,1,35620,1,2500,40
93046,4,19,30,1,1,39,2,1,35620,1,1450,50
93058,41,11,57,1,2,39,2,2,35620,1,950,21
93147,32,1,24,6,2,43,2,1,15380,1,1387,40
93148,29,8,28,6,2,40,2,1,15380,1,1200,40
93162,40,8,41,6,2,44,4,2,35620,1,4000,30
93198,46,16,37,1,2,39,1,1,35620,1,1000,40
93212,39,22,45,1,1,46,1,1,35620,1,1850,35
93230,32,17,31,6,2,39,2,1,15380,1,1000,40
93248,34,19,69,1,1,39,2,1,35620,1,3500,35
93254,4,19,59,1,1,44,1,1,35620,1,2800,40
93272,23,16,53,6,1,40,1,1,35620,1,2700,40
93286,46,1,37,6,2,39,2,1,15380,1,2200,40
93363,22,17,21,4,1,40,1,2,35620,1,1000,25
93364,22,16,61,4,2,40,1,2,35620,1,1400,26
93391,22,16,56,3,2,39,1,1,35620,1,1125,40
93452,36,4,26,6,1,43,1,1,35620,1,2600,40
93453,36,4,23,6,2,40,2,1,35620,1,800,40
93460,41,10,28,6,2,43,1,1,35620,1,5800,35
93497,41,10,40,4,2,40,2,1,35620,1,1975,40
93510,34,16,44,1,1,43,1,1,35620,1,3500,40
93522,46,13,21,6,2,39,1,2,35620,1,1200,31
93674,42,11,35,1,2,39,1,1,35620,1,1792,40
93677,34,19,55,1,1,39,1,1,35620,1,1500,40
93748,42,11,40,3,2,34,1,1,35620,1,1700,40
93749,21,22,35,1,2,39,1,2,35620,1,900,30
93778,36,4,28,6,1,43,1,1,35620,1,1875,40
93790,38,22,43,1,2,33,5,1,35620,1,833,40
93791,38,22,42,1,1,32,5,1,35620,1,833,40
93795,22,16,41,1,1,32,5,1,35620,1,850,40
93963,38,16,33,6,2,39,2,2,35620,1,900,26
93967,45,6,24,6,2,43,1,1,35620,1,1800,40
94035,42,11,55,6,2,43,2,1,35620,1,1000,40
94050,22,22,32,1,1,32,1,1,35620,1,1600,40
94054,44,15,21,6,1,36,1,2,35620,1,300,25
94068,41,6,52,1,1,38,2,1,15380,1,2600,38
94075,22,3,46,6,2,39,1,1,35620,1,3500,40
94119,46,13,29,6,2,40,2,1,35620,1,750,40
94191,50,14,49,1,2,39,1,2,35620,1,900,30
94194,46,17,23,6,1,40,1,1,35620,1,1000,40
94239,49,17,46,6,1,39,5,1,35620,1,1325,40
94246,51,12,42,6,2,42,2,1,35620,1,1225,40
94281,38,12,26,6,1,42,6,1,35620,1,1025,40
94308,4,19,33,1,1,40,1,1,35620,1,3700,40
94322,41,11,23,6,1,43,1,2,35620,1,1500,25
94378,46,13,18,6,1,38,1,1,35620,1,1000,50
94383,22,16,28,6,2,39,1,1,35620,1,900,40
94400,46,13,43,2,1,39,4,2,35620,1,800,33
94404,46,14,42,1,1,39,4,1,35620,1,900,40
94543,43,6,47,1,2,43,1,1,35620,1,5100,40
94565,43,15,45,6,1,37,4,2,35620,1,1000,30
94605,40,8,47,6,2,40,2,1,35620,1,1975,40
94657,38,17,48,4,1,39,2,1,15380,1,1822,40
94658,41,10,48,4,2,42,2,1,15380,1,1975,40
94697,42,11,65,1,2,33,4,1,35620,1,1568,40
94699,46,13,26,6,1,40,4,1,35620,1,1025,40
94707,23,2,63,1,1,40,1,1,35620,1,3500,40
94735,33,17,24,6,2,43,4,1,35620,1,1600,40
94736,21,17,35,6,1,40,4,1,35620,1,1000,40
94738,22,16,26,6,2,43,2,1,35620,1,1250,40
94742,22,10,21,6,2,39,4,1,35620,1,1600,40
94743,46,13,20,6,1,39,4,1,35620,1,1200,40
94753,12,16,48,4,2,43,1,1,35620,1,1900,45
94850,46,16,43,1,2,43,2,2,35620,1,1000,20
98657,33,17,33,6,2,39,2,1,16740,1,1050,48
98705,42,10,25,6,2,40,2,1,16740,1,1200,40
98729,44,12,32,6,1,40,1,1,16740,1,1800,45
98937,36,3,28,1,1,39,1,1,16740,1,1650,45
98938,42,10,28,1,2,43,1,1,16740,1,1350,40
98940,29,1,31,6,1,40,1,1,16740,1,1050,45
99039,35,16,57,4,2,41,1,1,16740,1,750,40
99146,38,17,29,6,2,39,2,1,16740,1,1000,40
99149,4,19,30,6,1,39,2,1,16740,1,3600,50
110479,41,14,30,1,2,39,5,2,38900,1,1125,32
110545,23,22,55,1,1,40,1,1,38900,1,2171,38
110547,22,16,19,6,1,39,1,1,38900,1,950,35
110581,51,15,65,1,1,33,4,2,38900,1,1400,15
110624,23,22,45,1,2,43,1,1,38900,1,2410,37
110687,42,10,27,1,2,43,1,2,38900,1,3500,20
110688,17,21,31,1,1,39,1,1,38900,1,2130,40
110695,41,11,36,6,1,39,1,1,38900,1,2000,40
110696,46,13,31,6,1,39,1,1,38900,1,1230,33
110722,36,17,54,6,2,43,1,1,38900,1,1700,45
110725,4,19,17,6,1,39,1,1,38900,1,1500,30
110727,22,22,40,6,2,40,1,1,38900,1,1500,40
110736,40,10,37,6,2,43,1,1,38900,1,4300,36
110741,22,16,68,1,1,39,1,1,38900,1,1000,40
110815,46,1,32,6,1,43,1,1,38900,1,2300,40
110816,22,16,42,6,2,43,1,1,38900,1,1224,40
110817,41,17,46,6,2,43,1,1,38900,1,3040,40
110878,44,11,28,6,1,39,1,2,38900,1,212,1
110954,51,2,48,1,1,43,1,1,38900,1,2300,40
110998,40,17,41,6,1,44,1,1,38900,1,1950,40
111000,23,22,43,1,1,43,4,1,38900,1,975,40
111002,41,10,38,4,2,44,1,2,38900,1,3950,24
111051,41,10,35,6,2,42,1,2,38900,1,4600,32
117130,4,19,38,6,1,39,1,1,39300,1,1500,58
117178,42,11,27,1,2,39,1,1,39300,1,850,40
117184,42,11,26,2,2,42,3,2,39300,1,1025,30
117224,42,15,27,6,2,40,2,1,39300,1,1290,40
117274,42,10,56,1,2,42,2,1,39300,1,2200,40
122668,41,10,25,6,2,43,1,1,34980,1,2385,36
122712,41,10,45,1,2,44,1,1,34980,1,3000,40
122891,49,6,62,4,2,35,2,1,34980,1,975,35
122893,12,21,34,6,1,39,2,1,34980,1,850,40
122915,22,22,38,6,1,40,2,1,34980,1,1200,40
122924,4,19,53,6,1,39,1,1,34980,1,1800,40
123048,51,12,54,6,2,39,2,1,34980,1,900,40
123103,40,9,25,6,2,44,1,1,34980,1,2150,40
123239,44,1,39,1,2,40,1,1,34980,1,2680,35
123247,41,17,69,1,2,39,1,1,34980,1,2400,40
123275,45,13,31,1,1,43,1,1,34980,1,500,40
123276,41,15,29,1,2,41,1,1,34980,1,1200,40
123285,42,11,43,6,2,40,2,1,34980,1,1400,38
123289,36,2,36,6,1,43,1,1,34980,1,4512,45
123300,43,1,23,6,2,43,1,1,34980,1,1400,40
123301,49,17,55,1,2,43,1,1,34980,1,2173,37
123330,23,22,55,1,1,39,1,1,34980,1,1600,40
123331,33,2,55,1,2,39,1,1,34980,1,1900,40
125818,15,20,30,1,1,40,1,1,19100,1,2250,40
125819,42,11,30,1,2,40,1,1,19100,1,1500,40
125914,22,22,61,1,1,39,1,2,26420,1,1000,21
125917,22,22,25,6,1,39,2,1,19100,1,945,40
126134,22,17,36,6,2,39,2,1,26420,1,1200,40
126248,4,20,21,6,1,39,1,1,19100,1,1000,40
126257,22,22,37,1,1,33,1,1,26420,1,2000,40
126303,5,21,59,1,1,33,1,1,26420,1,950,40
126309,46,1,18,5,1,39,2,2,26420,1,825,32
126310,42,15,53,5,2,39,2,1,26420,1,900,40
126311,38,14,21,5,2,40,2,2,26420,1,800,32
126312,42,11,23,5,2,40,2,1,26420,1,900,40
126357,7,21,24,6,1,39,1,1,19100,1,1200,55
126365,50,14,55,4,2,35,1,2,26420,1,1000,5
126417,14,16,23,6,2,40,2,2,26420,1,1035,25
126419,44,13,24,6,1,42,2,1,26420,1,1335,40
126533,34,2,44,1,2,42,1,1,19100,1,2300,40
126613,4,19,42,6,1,39,1,1,19100,1,1100,40
126695,4,19,50,1,1,33,1,1,19100,1,1200,40
126705,45,14,46,1,2,32,1,1,19100,1,900,52
126718,46,13,45,1,1,39,1,1,19100,1,900,34
126982,23,22,33,1,1,34,1,1,19100,1,2000,40
127076,46,13,17,6,1,36,1,2,19100,1,800,20
127279,25,9,32,1,2,44,1,1,19100,1,2150,40
127438,40,1,25,6,2,42,1,2,19100,1,1125,20
127514,21,22,47,1,2,33,1,1,19100,1,800,35
127515,21,22,55,1,1,33,1,2,19100,1,750,30
127532,46,13,39,6,1,40,1,2,26420,1,268,30
127536,46,13,18,6,2,37,1,2,19100,1,213,15
127583,50,14,39,5,2,34,1,1,19100,1,1500,40
127616,23,17,61,6,1,43,1,1,19100,1,2970,46
127832,40,22,47,4,2,42,2,1,26420,1,1300,40
127864,10,2,41,6,1,43,2,1,19100,1,2500,40
127883,43,17,45,5,2,40,1,1,19100,1,1500,40
127884,36,7,19,6,2,40,1,1,19100,1,1200,38
127885,36,17,23,6,1,40,1,1,19100,1,1400,40
127949,29,20,46,4,1,43,1,1,19100,1,3500,40
127958,4,19,39,6,1,38,1,1,19100,1,1200,40
127969,42,10,36,1,2,43,4,2,19100,1,2100,16
128010,42,10,30,5,2,40,1,2,26420,1,1100,32
128167,40,17,16,6,2,36,1,2,19100,1,1000,20
128168,21,22,20,6,1,40,1,1,19100,1,1150,40
128227,40,10,27,1,2,44,1,1,26420,1,2150,40
128237,4,19,32,6,1,39,1,1,26420,1,1400,40
128288,4,19,54,1,1,33,1,1,19100,1,1100,40
128305,46,13,26,6,1,40,2,2,26420,1,900,32
128323,21,22,34,1,1,36,1,1,19100,1,1100,40
128336,44,12,17,6,1,36,2,1,26420,1,725,40
128358,47,20,58,5,1,40,2,2,19100,1,1000,30
128360,21,16,46,1,1,40,1,1,32580,1,1575,40
128374,43,8,38,6,2,39,1,1,19100,1,1000,40
128376,4,19,35,4,1,39,1,1,19100,1,1100,40
128377,42,14,42,6,2,39,2,2,19100,1,1200,32
128415,46,13,39,1,1,39,1,1,26420,1,1100,40
128458,4,19,36,1,1,35,1,1,19100,1,1000,40
128494,46,13,65,1,1,33,1,1,19100,1,800,40
128497,46,9,30,6,1,39,1,1,19100,1,800,40
128504,22,14,31,1,2,39,2,1,26420,1,1450,40
128522,42,11,39,1,2,39,2,2,19100,1,1212,34
128523,47,20,42,1,1,39,2,1,19100,1,1500,40
128525,22,17,18,6,2,37,2,2,19100,1,825,15
128697,36,4,56,1,1,35,1,1,26420,1,2700,40
128698,46,13,22,6,2,39,1,1,26420,1,1600,40
128700,22,16,28,6,1,39,1,1,26420,1,1500,40
128903,38,12,37,6,1,39,2,1,26420,1,1800,40
129020,4,19,29,1,1,39,1,1,19100,1,1500,40
129034,46,13,50,1,1,39,1,2,19100,1,268,30
138922,22,22,35,4,1,40,1,1,47260,1,1800,40
139017,46,13,55,4,2,39,1,2,47260,1,227,27
139094,42,10,42,5,2,42,1,1,47260,1,1836,40
139097,22,22,19,6,1,40,1,2,47260,1,1000,30
139170,24,20,40,4,1,40,1,1,47260,1,1945,40
139264,45,14,64,3,2,32,2,1,47900,1,1050,40
141641,10,21,64,1,1,43,4,1,42660,1,4300,40
141642,43,8,38,1,2,43,4,1,42660,1,1350,40
141828,33,17,26,6,2,41,1,1,42660,1,2000,40
141830,40,17,62,5,1,39,1,2,42660,1,950,30
141839,4,19,18,6,1,36,2,1,42660,1,800,40
141998,50,14,51,4,2,41,1,2,42660,1,1000,12
141999,4,19,20,6,1,39,1,1,42660,1,1750,40
142000,4,19,20,6,1,40,1,1,42660,1,1750,40
142099,23,14,58,1,1,39,4,1,42660,1,2000,40
142101,4,5,23,6,2,44,4,1,42660,1,2200,36
142157,1,14,35,4,2,43,1,1,42660,1,1500,60
142162,46,13,35,4,2,44,1,1,42660,1,1320,60
142163,11,21,36,4,1,39,1,1,42660,1,2195,40
142164,11,21,34,4,1,42,1,1,42660,1,2195,40
142210,7,17,55,4,2,42,1,1,42660,1,2100,40
142229,49,17,78,4,2,44,4,1,42660,1,1500,40
142240,45,16,57,1,2,40,1,1,42660,1,2040,40
142340,37,2,37,1,1,43,1,1,42660,1,2610,36
142341,40,2,36,1,2,43,1,1,42660,1,2550,40
147606,42,11,24,6,2,39,2,1,33340,1,1225,40
147691,51,12,33,1,1,43,2,1,33340,1,3800,40
147713,4,19,35,1,1,34,1,1,33340,1,1200,52
147714,38,14,37,1,2,39,1,2,33340,1,1000,52
147745,39,22,41,4,1,34,2,1,33340,1,1000,40
147746,38,14,23,6,1,39,2,1,33340,1,1335,40
147769,40,17,48,1,2,43,1,1,33340,1,1200,40
147772,44,15,16,6,1,37,1,2,33340,1,700,20
147778,51,12,42,1,2,43,1,1,33340,1,3000,50
147779,51,12,44,1,1,43,1,1,33340,1,4900,50
147786,40,8,59,1,2,39,1,2,33340,1,1750,30
147846,32,2,47,3,2,40,2,1,33340,1,3300,36
147847,32,2,25,6,2,40,2,1,33340,1,1400,36
147848,39,22,45,1,1,39,2,1,33340,1,2065,40
147851,36,9,31,6,1,43,1,1,33340,1,2700,40
147910,22,16,58,1,2,39,1,2,33340,1,1152,30
147933,43,15,36,6,2,39,2,2,33340,1,900,32
147938,46,16,17,6,2,37,2,2,33340,1,750,20
