PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,GTCBSA,PRFTLF,PRUNEDUR,PRUNTYPE,PELKM1,PULKM2,PULKM3,PULKM4,PULKM5,PULKM6
45352,46,13,51,4,2,41,1,16980,1,61,5,1,10,-1,-1,-1,-1
45394,40,15,32,6,2,40,2,16980,1,4,5,1,-1,-1,-1,-1,-1
45436,-1,-1,20,6,1,40,1,16980,1,56,6,6,-1,-1,-1,-1,-1
45451,32,17,25,6,2,43,2,16980,1,2,2,12,3,6,-1,-1,-1
45455,38,21,40,6,2,38,1,16980,1,16,3,1,6,-1,-1,-1,-1
45467,38,22,35,6,1,39,2,16980,1,104,3,6,2,10,-1,-1,-1
45470,38,22,47,1,1,39,2,16980,1,104,3,2,6,10,-1,-1,-1
45475,38,22,46,1,2,39,2,16980,1,104,3,2,6,10,-1,-1,-1
45561,45,15,25,1,1,40,1,16980,1,13,2,6,11,-1,-1,-1,-1
45631,38,2,67,4,1,43,1,16980,1,52,4,10,2,5,-1,-1,-1
45632,14,22,51,1,2,34,1,16980,1,108,5,6,1,-1,-1,-1,-1
45633,35,20,52,1,1,39,1,16980,1,119,5,6,-1,-1,-1,-1,-1
45724,38,22,21,6,1,39,2,16980,1,0,5,1,10,6,-1,-1,-1
45880,4,19,49,6,1,39,2,16980,1,26,5,6,4,-1,-1,-1,-1
45890,-1,-1,20,6,1,39,2,16980,1,0,6,1,6,-1,-1,-1,-1
45891,46,16,20,6,2,39,2,16980,1,119,5,1,4,6,-1,-1,-1
45895,48,15,37,6,2,39,2,16980,1,4,5,6,-1,-1,-1,-1,-1
45988,44,16,25,6,2,39,3,16980,1,3,3,1,12,-1,-1,-1,-1
46013,-1,-1,18,6,1,39,1,16980,1,8,6,6,1,-1,-1,-1,-1
46017,34,1,54,4,2,43,2,16980,1,119,5,1,6,-1,-1,-1,-1
46018,16,9,24,6,2,40,2,16980,1,4,3,1,-1,-1,-1,-1,-1
49247,36,1,34,6,2,45,2,26900,1,1,5,1,-1,-1,-1,-1,-1
49252,46,13,20,6,1,39,6,26900,1,43,5,1,6,-1,-1,-1,-1
49281,40,8,36,1,2,44,2,26900,1,1,4,6,-1,-1,-1,-1,-1
49391,38,1,58,4,2,40,1,26900,1,8,2,10,9,4,-1,-1,-1
49455,48,22,19,6,1,40,1,26900,1,7,5,1,10,-1,-1,-1,-1
49562,51,17,46,2,2,39,1,26900,1,4,4,1,10,-1,-1,-1,-1
53294,38,16,25,6,1,40,2,28140,2,52,5,6,1,-1,-1,-1,-1
57099,22,13,41,6,2,39,2,35380,1,6,4,4,10,-1,-1,-1,-1
57217,46,16,24,6,2,39,2,35380,1,1,5,6,2,-1,-1,-1,-1
57371,38,14,51,6,1,39,2,35380,1,26,3,4,8,-1,-1,-1,-1
57411,22,16,37,6,2,41,2,35380,1,2,4,1,6,-1,-1,-1,-1
57489,40,6,47,1,1,43,1,35380,1,16,4,4,5,6,7,10,-1
57504,43,6,69,3,1,40,1,35380,2,12,5,4,-1,-1,-1,-1,-1
57526,4,19,29,1,1,39,3,35380,1,2,2,1,4,8,-1,-1,-1
57592,14,5,51,1,1,42,6,35380,1,2,3,1,-1,-1,-1,-1,-1
61853,22,16,40,6,2,39,2,12580,1,5,4,1,-1,-1,-1,-1,-1
61856,22,16,44,6,2,39,2,12580,2,6,2,1,-1,-1,-1,-1,-1
62216,4,20,50,1,1,36,1,12580,1,13,2,1,6,-1,-1,-1,-1
62243,51,1,58,4,2,43,2,12580,1,8,3,1,-1,-1,-1,-1,-1
63720,-1,-1,16,6,1,43,1,14460,1,10,6,12,-1,-1,-1,-1,-1
63748,46,16,25,6,2,40,1,14460,1,30,5,6,-1,-1,-1,-1,-1
66838,14,13,55,3,2,40,2,19820,1,16,2,2,6,-1,-1,-1,-1
66927,22,17,26,6,2,36,1,19820,1,2,5,1,9,-1,-1,-1,-1
67137,22,16,18,6,2,37,2,19820,1,13,5,6,-1,-1,-1,-1,-1
67138,46,16,20,6,2,37,2,19820,1,13,5,6,9,-1,-1,-1,-1
67139,42,11,23,6,2,39,2,19820,1,9,5,6,9,-1,-1,-1,-1
67265,22,17,18,6,1,37,2,19820,1,2,5,6,-1,-1,-1,-1,-1
67371,6,21,34,6,2,40,2,19820,2,35,2,2,3,-1,-1,-1,-1
67471,38,22,31,6,1,39,2,19820,1,4,5,6,-1,-1,-1,-1,-1
70266,-1,-1,15,6,2,35,1,33460,2,4,6,1,-1,-1,-1,-1,-1
70322,50,14,24,1,1,39,1,33460,1,22,5,10,1,-1,-1,-1,-1
70329,48,15,24,1,2,40,1,33460,1,1,3,1,6,-1,-1,-1,-1
70396,46,13,36,6,1,39,1,33460,2,2,5,1,-1,-1,-1,-1,-1
70421,33,2,32,4,2,39,1,33460,1,2,5,10,4,-1,-1,-1,-1
70427,-1,-1,25,6,2,40,2,33460,1,6,6,8,6,4,-1,-1,-1
75029,4,1,54,3,2,36,1,28140,1,91,2,6,-1,-1,-1,-1,-1
75110,38,12,35,1,1,44,1,28140,1,9,2,6,10,-1,-1,-1,-1
75158,4,19,41,6,1,40,2,28140,1,8,5,6,-1,-1,-1,-1,-1
75225,38,14,24,6,2,39,2,28140,1,104,3,2,6,8,-1,-1,-1
75262,46,13,30,6,2,39,1,28140,1,3,5,1,4,12,-1,-1,-1
82146,4,19,34,1,1,32,3,29820,1,104,2,4,-1,-1,-1,-1,-1
82209,22,16,57,4,2,39,1,29820,1,35,2,1,6,10,2,-1,-1
82276,-1,-1,45,1,2,39,2,29820,1,52,6,2,3,4,-1,-1,-1
82307,44,15,57,5,1,43,2,29820,1,16,2,1,3,-1,-1,-1,-1
82375,23,22,40,1,1,39,2,29820,1,25,4,13,-1,-1,-1,-1,-1
82409,33,2,56,4,1,43,2,29820,1,119,5,10,6,-1,-1,-1,-1
82418,36,7,53,4,2,39,1,29820,1,5,5,6,-1,-1,-1,-1,-1
82441,46,13,31,1,2,35,1,29820,1,2,3,1,6,10,-1,-1,-1
82546,32,17,31,6,2,40,2,29820,1,35,2,1,6,10,-1,-1,-1
82587,21,19,50,1,1,36,1,29820,1,25,2,1,12,10,6,-1,-1
82703,46,13,21,6,1,39,5,29820,1,104,5,4,-1,-1,-1,-1,-1
82719,42,11,48,2,2,40,1,29820,1,4,5,10,6,9,-1,-1,-1
82793,22,1,54,1,2,39,1,29820,1,30,2,1,2,4,6,8,10
82860,46,13,19,6,2,39,1,29820,1,8,4,6,4,-1,-1,-1,-1
82940,44,16,51,1,2,40,2,29820,1,17,2,6,8,10,-1,-1,-1
82947,51,1,69,4,1,43,1,29820,1,44,5,10,9,-1,-1,-1,-1
86104,43,8,57,4,2,42,1,35620,1,7,2,1,6,3,-1,-1,-1
86138,4,17,49,6,2,39,2,35620,1,35,2,2,10,-1,-1,-1,-1
86143,36,3,32,1,2,44,4,35620,1,108,2,1,-1,-1,-1,-1,-1
86180,32,16,39,6,1,42,2,35620,1,52,2,12,-1,-1,-1,-1,-1
92207,50,15,61,1,2,39,4,35620,1,119,2,1,-1,-1,-1,-1,-1
92319,46,13,35,1,1,39,4,35620,1,52,5,4,8,1,-1,-1,-1
92335,-1,-1,22,6,1,39,1,35620,1,35,6,1,8,4,-1,-1,-1
92482,36,16,53,1,2,43,4,35620,1,25,2,1,-1,-1,-1,-1,-1
92483,-1,-1,25,6,1,43,4,35620,1,65,6,6,-1,-1,-1,-1,-1
92494,46,13,25,6,1,43,1,35620,1,22,5,6,2,9,-1,-1,-1
92496,23,22,52,6,1,39,2,35620,1,0,2,1,2,3,4,6,10
92502,22,22,21,6,1,39,2,35620,1,4,5,6,-1,-1,-1,-1,-1
92615,47,21,70,1,1,43,4,35620,2,26,5,1,-1,-1,-1,-1,-1
92621,46,13,21,6,1,41,1,35620,1,12,5,1,-1,-1,-1,-1,-1
92654,4,19,29,1,1,41,1,35620,1,4,4,1,-1,-1,-1,-1,-1
92702,21,17,32,6,1,39,2,35620,1,26,4,6,10,-1,-1,-1,-1
92770,8,3,69,4,1,42,2,35620,1,47,3,4,-1,-1,-1,-1,-1
92819,44,9,33,1,1,43,2,35620,1,2,3,1,6,-1,-1,-1,-1
92823,42,15,48,5,2,38,2,35620,1,8,3,1,-1,-1,-1,-1,-1
92827,46,16,20,6,2,38,2,35620,1,8,5,6,-1,-1,-1,-1,-1
92860,43,15,63,5,2,40,2,35620,1,119,2,1,2,3,4,6,5
92950,33,2,56,1,2,40,2,35620,1,35,3,9,6,-1,-1,-1,-1
93008,48,16,54,1,2,40,1,35620,1,7,2,1,8,10,-1,-1,-1
93070,4,19,25,6,1,32,1,35620,1,30,5,1,2,6,10,-1,-1
93072,46,13,16,6,1,40,1,35620,1,11,4,1,2,4,6,10,-1
93115,-1,-1,25,6,2,44,1,35620,1,8,6,3,4,5,6,8,10
93206,4,19,34,6,1,40,2,35620,1,52,2,6,-1,-1,-1,-1,-1
93327,4,19,44,6,1,43,2,35620,1,4,3,2,3,4,8,12,-1
93354,43,1,73,6,2,43,1,35620,1,30,3,7,6,1,-1,-1,-1
93410,-1,-1,18,6,1,39,2,35620,1,4,6,6,3,2,-1,-1,-1
93413,-1,-1,23,6,2,40,2,35620,2,4,6,6,3,-1,-1,-1,-1
93451,36,2,30,6,1,44,1,35620,1,1,3,1,-1,-1,-1,-1,-1
93487,38,14,56,4,1,34,2,35620,1,43,3,12,4,-1,-1,-1,-1
93490,49,9,39,6,2,43,1,35620,2,4,4,5,12,4,6,-1,-1
93491,48,15,34,6,1,39,1,35620,1,4,5,3,9,-1,-1,-1,-1
93568,40,6,19,6,1,39,1,35620,2,8,5,6,12,4,-1,-1,-1
93583,40,8,32,6,2,45,1,35620,1,4,4,6,1,8,10,-1,-1
93648,21,17,38,6,1,39,2,35620,1,12,2,3,-1,-1,-1,-1,-1
93783,45,14,60,4,2,39,1,35620,2,22,4,10,1,-1,-1,-1,-1
93785,39,22,62,6,1,39,1,35620,1,12,3,10,1,-1,-1,-1,-1
93884,43,6,25,6,1,43,2,35620,2,52,5,6,-1,-1,-1,-1,-1
93925,22,16,37,6,2,40,2,35620,1,15,2,1,10,-1,-1,-1,-1
93981,-1,-1,17,6,2,39,2,35620,1,9,6,6,10,-1,-1,-1,-1
93984,42,11,59,6,2,39,2,35620,1,35,3,1,-1,-1,-1,-1,-1
94005,34,1,38,6,1,41,2,35620,1,108,5,6,-1,-1,-1,-1,-1
94008,21,17,39,4,2,41,2,35620,2,30,4,8,-1,-1,-1,-1,-1
94010,22,17,29,6,2,34,1,35620,1,61,5,6,9,-1,-1,-1,-1
94087,43,15,29,1,2,40,1,35620,1,4,5,1,3,-1,-1,-1,-1
94115,46,13,48,4,1,39,3,35620,1,119,2,1,8,-1,-1,-1,-1
94118,-1,-1,63,1,2,35,2,35620,1,8,6,6,9,-1,-1,-1,-1
94132,-1,-1,22,6,1,40,1,35620,2,119,6,4,10,-1,-1,-1,-1
94205,25,16,16,6,1,35,2,35620,2,61,5,1,-1,-1,-1,-1,-1
94261,-1,-1,27,6,1,39,2,35620,1,119,6,1,4,10,6,-1,-1
94353,42,11,53,4,2,39,2,35620,1,7,2,2,6,1,-1,-1,-1
94444,-1,-1,23,6,2,43,2,35620,1,108,6,4,6,-1,-1,-1,-1
94586,42,11,44,5,2,39,1,35620,2,30,3,1,6,-1,-1,-1,-1
94633,22,22,19,6,1,39,2,35620,2,2,4,1,6,9,-1,-1,-1
94720,43,15,30,6,2,42,1,35620,1,65,5,6,8,10,-1,-1,-1
94760,23,22,71,6,1,40,1,35620,1,108,5,1,-1,-1,-1,-1,-1
94813,27,4,26,6,1,43,1,35620,1,4,4,1,-1,-1,-1,-1,-1
94972,-1,-1,19,6,2,39,2,35620,2,4,6,6,-1,-1,-1,-1,-1
98634,32,1,35,6,1,42,1,16740,1,2,4,1,4,6,8,10,-1
98943,40,9,23,6,2,43,1,16740,1,3,5,6,10,-1,-1,-1,-1
98944,-1,-1,23,6,2,43,1,16740,1,2,6,6,10,-1,-1,-1,-1
99063,22,16,56,4,2,43,1,16740,1,12,2,9,1,-1,-1,-1,-1
110572,36,2,41,6,2,44,1,38900,1,52,3,1,3,-1,-1,-1,-1
110637,51,12,51,1,1,41,1,38900,1,6,2,1,2,4,6,10,-1
110647,38,12,19,6,1,40,12,38900,1,4,2,1,6,-1,-1,-1,-1
110836,46,13,22,6,2,43,1,38900,1,4,5,1,4,5,6,8,10
110910,42,15,42,4,2,37,1,38900,1,12,5,1,5,-1,-1,-1,-1
110913,-1,-1,18,6,1,37,6,38900,1,26,6,1,6,-1,-1,-1,-1
111005,26,2,42,1,2,43,1,38900,1,12,4,1,4,-1,-1,-1,-1
111058,29,16,44,1,2,40,1,38900,1,8,2,6,11,10,-1,-1,-1
111081,-1,-1,16,6,1,36,4,38900,2,4,6,6,-1,-1,-1,-1,-1
116995,22,16,35,6,1,39,1,39300,1,9,2,1,6,10,-1,-1,-1
117016,33,17,43,6,2,40,2,39300,1,5,5,8,9,-1,-1,-1,-1
117032,-1,-1,18,6,2,39,3,39300,1,12,6,1,-1,-1,-1,-1,-1
117067,22,17,49,4,2,39,1,39300,1,2,3,1,-1,-1,-1,-1,-1
117068,39,22,18,6,1,37,1,39300,1,3,3,1,-1,-1,-1,-1,-1
117072,42,15,35,2,2,39,1,39300,1,21,3,10,4,6,8,-1,-1
117229,13,21,41,2,1,39,1,39300,1,12,5,1,2,-1,-1,-1,-1
117235,42,14,69,4,2,38,2,39300,1,6,4,6,-1,-1,-1,-1,-1
117248,44,16,34,6,1,39,1,39300,1,22,4,10,6,-1,-1,-1,-1
117258,4,19,37,6,1,40,16,39300,1,8,2,6,10,-1,-1,-1,-1
122617,17,21,56,4,1,39,1,34980,1,5,2,1,6,-1,-1,-1,-1
122670,41,10,27,6,2,43,1,34980,1,1,4,-2,-1,-1,-1,-1,-1
122851,33,17,46,4,2,40,1,34980,1,6,2,10,-1,-1,-1,-1,-1
122999,27,2,46,1,1,41,1,34980,1,2,5,9,-1,-1,-1,-1,-1
123215,8,1,25,6,1,43,1,34980,1,8,4,1,2,3,5,6,8
123262,40,9,43,1,1,44,1,34980,1,52,5,2,5,6,7,8,-1
125567,7,21,25,5,2,35,1,26420,1,3,2,1,2,-1,-1,-1,-1
125668,4,17,55,3,2,40,4,26420,2,7,4,6,-1,-1,-1,-1,-1
125779,22,16,21,6,2,39,1,19100,1,6,4,1,6,-1,-1,-1,-1
125810,40,5,21,6,1,40,1,19100,1,39,2,1,4,-1,-1,-1,-1
125835,33,2,32,6,1,44,1,19100,1,31,2,6,-1,-1,-1,-1,-1
125838,33,1,28,1,2,43,1,19100,1,28,2,6,-1,-1,-1,-1,-1
125859,23,22,51,1,1,39,1,19100,1,1,2,6,-1,-1,-1,-1,-1
126117,-1,-1,18,6,1,36,2,26420,1,8,6,1,4,2,6,-1,-1
126280,46,13,24,6,1,39,1,26420,1,3,5,7,2,4,6,8,12
126296,47,22,54,6,1,36,2,26420,1,21,5,1,-1,-1,-1,-1,-1
126509,4,19,45,1,1,35,1,26420,1,12,2,1,2,3,4,6,8
126511,27,9,23,6,1,39,1,26420,1,32,3,1,2,4,5,6,7
126630,40,8,70,1,2,43,1,26420,2,3,3,1,-1,-1,-1,-1,-1
126694,46,1,36,1,1,43,1,26420,1,3,5,12,9,-1,-1,-1,-1
126708,-1,-1,19,6,1,39,1,19100,1,119,6,1,6,-1,-1,-1,-1
126828,22,16,27,6,2,39,2,26420,1,34,5,1,3,-1,-1,-1,-1
127047,43,15,22,1,2,39,1,19100,1,4,5,6,4,-1,-1,-1,-1
127162,40,8,31,6,2,43,4,19100,1,5,2,6,-1,-1,-1,-1,-1
127511,-1,-1,17,6,1,37,2,19100,2,3,6,6,4,-1,-1,-1,-1
127592,38,17,66,4,1,43,1,26420,2,119,3,1,6,4,-1,-1,-1
127721,23,2,29,6,2,43,2,26420,1,30,5,6,-1,-1,-1,-1,-1
127836,23,22,56,1,2,38,2,26420,1,6,5,1,2,4,-1,-1,-1
127837,44,14,57,1,1,37,2,26420,1,8,5,1,2,4,6,10,-1
127839,22,17,23,6,1,39,2,26420,1,4,3,6,2,1,-1,-1,-1
127853,-1,-1,25,6,2,40,1,19100,1,5,6,1,-1,-1,-1,-1,-1
127869,47,22,29,6,1,39,1,19100,1,8,3,1,-1,-1,-1,-1,-1
127956,4,19,47,2,1,40,1,19100,1,1,2,1,-1,-1,-1,-1,-1
127959,40,8,40,4,2,40,1,26420,1,39,2,1,4,-1,-1,-1,-1
127962,-1,-1,19,6,1,40,1,26420,1,8,6,1,4,-1,-1,-1,-1
127970,23,22,46,1,1,39,4,19100,1,4,3,1,10,-1,-1,-1,-1
127995,48,15,35,5,1,43,2,26420,1,35,5,1,2,3,4,5,6
128123,40,1,39,5,2,46,1,19100,1,4,2,2,3,-1,-1,-1,-1
128135,41,10,23,6,2,45,1,26420,1,8,5,1,6,-1,-1,-1,-1
128217,-1,-1,18,6,2,39,1,26420,2,4,6,1,6,-1,-1,-1,-1
128223,40,5,23,6,2,40,4,26420,2,13,5,7,8,10,-1,-1,-1
128372,4,19,20,6,1,39,1,19100,1,39,5,1,-1,-1,-1,-1,-1
128669,4,17,32,5,2,39,1,26420,2,1,5,6,-1,-1,-1,-1,-1
128701,4,19,31,6,1,36,1,26420,1,12,2,4,1,-1,-1,-1,-1
128707,6,21,28,6,1,40,1,19100,1,52,4,10,1,-1,-1,-1,-1
128759,-1,-1,18,6,1,40,1,26420,1,3,6,4,8,-1,-1,-1,-1
128765,22,21,56,5,1,44,1,26420,1,13,2,6,2,-1,-1,-1,-1
128797,4,19,22,6,1,40,1,26420,1,119,2,9,-1,-1,-1,-1,-1
128799,38,21,23,6,1,39,1,19100,1,13,3,3,6,-1,-1,-1,-1
128890,-1,-1,18,6,1,37,1,19100,1,3,6,1,-1,-1,-1,-1,-1
138822,23,17,40,1,2,39,1,47260,2,17,4,1,6,-1,-1,-1,-1
138852,23,22,51,6,1,39,1,47260,1,61,2,3,6,2,-1,-1,-1
138914,38,14,49,6,1,40,1,47260,1,52,3,8,6,-1,-1,-1,-1
138947,23,15,51,1,1,40,5,47260,1,8,2,6,-1,-1,-1,-1,-1
138948,42,15,39,1,2,39,5,47260,1,39,4,6,1,-1,-1,-1,-1
139043,49,12,43,5,2,43,1,47260,1,12,3,6,10,-1,-1,-1,-1
139046,-1,-1,61,1,2,41,1,47260,1,16,6,6,-1,-1,-1,-1,-1
139226,22,16,22,6,2,39,2,47260,2,2,5,1,-1,-1,-1,-1,-1
139245,46,13,19,1,2,39,1,47260,1,4,4,6,1,-1,-1,-1,-1
142135,40,8,69,1,1,43,2,42660,2,2,3,9,-1,-1,-1,-1,-1
142194,-1,-1,37,4,1,40,2,42660,2,12,6,6,1,-1,-1,-1,-1
142264,46,22,22,6,1,43,1,42660,1,3,5,1,-1,-1,-1,-1,-1
147717,32,16,29,2,1,41,3,33340,1,9,2,6,-1,-1,-1,-1,-1
147803,22,22,35,6,1,34,2,33340,1,119,2,2,6,-1,-1,-1,-1
147867,13,21,36,6,1,40,2,33340,1,21,2,1,6,10,-1,-1,-1
147869,40,22,17,6,2,40,2,33340,1,52,2,6,2,10,-1,-1,-1
